
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-18;24;3015268;421119;771;9051;14;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-19;24;3015268;422133;1014;9071;20;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-20;25;3015268;423038;905;9094;23;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-21;25;3015268;423833;795;9113;19;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-22;25;3015268;424523;690;9129;16;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-23;25;3015268;425125;602;9146;17;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-24;25;3015268;425790;665;9158;12;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-25;25;3015268;426646;856;9172;14;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-26;25;3015268;427432;786;9184;12;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-27;26;3015268;428352;920;9193;9;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-28;26;3015268;429018;666;9206;13;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-29;26;3015268;429636;618;9232;26;;;1
Centro-Oeste;DF;Brasília;53;530010;53001;DISTRITO FEDERAL;2021-06-30;26;3015268;430461;825;9251;19;;;1
